Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
himmelblau,"[-3.2561, -3.1132]",12.64638,0.0046,1.0,"[-3.2561, 1.1043]",164,bad,-3.2561,1.1043,4.3604,5,8
himmelblau,"[-3.7614, -3.2775]",0.01705,0.0046,0.6,"[-3.7614, 0.563]",175,bad,-3.7614,0.563,4.3244,5,4
himmelblau,"[2.6982, 2.1594]",2.56574,0.0031,0.6,"[-4.1656, 2.6982]",176,bad,-4.1656,2.6982,6.8638,11,4
himmelblau,"[-3.777, -3.2859]",0.00082,0.0011,0.2,"[-4.8835, 2.7486]",30,good,-4.8835,2.7486,7.632099999999999,13,0
himmelblau,"[-3.1714, -3.0852]",16.64655,0.0035,0.7,"[-3.1714, 4.5209]",158,bad,-3.1714,4.5209,7.6923,13,5
himmelblau,"[2.1703, 2.1703]",16.98469,0.002,0.1,"[-2.7009, 2.1703]",59,bad,-2.7009,2.1703,4.8712,7,0
himmelblau,"[1.9791, 1.9791]",27.26947,0.001,0.9,"[-0.4721, 1.9791]",52,bad,-0.4721,1.9791,2.4512,1,7
himmelblau,"[3.5869, -1.8504]",0.00036,0.0,0.1,"[-4.6258, 4.2322]",30,good,-4.6258,4.2322,8.858,14,0
himmelblau,"[-1.9899, -1.9899]",106.85,0.0021,1.0,"[-1.9899, 2.3435]",52,bad,-1.9899,2.3435,4.3334,5,8
himmelblau,"[-2.8649, -2.8649]",34.7504,0.001,0.9,"[-2.8649, 1.1187]",53,bad,-2.8649,1.1187,3.9836,4,7
himmelblau,"[1.7882, 1.7882]",40.22559,0.0012,0.3,"[-3.0204, 1.7882]",54,bad,-3.0204,1.7882,4.8086,6,1
himmelblau,"[-1.0211, 3.0275]",49.33427,0.0036,0.3,"[-1.0211, 3.7939]",162,bad,-1.0211,3.7939,4.8149999999999995,6,1
himmelblau,"[3.5819, -1.8472]",0.00034,0.0,0.7,"[-2.7549, 3.6582]",39,good,-2.7549,3.6582,6.4131,10,5
himmelblau,"[2.9965, 2.0018]",0.00039,0.0,0.4,"[-1.022, 3.7993]",21,good,-1.022,3.7993,4.8213,6,2
himmelblau,"[1.2899, 1.2899]",81.11759,0.0015,0.8,"[-0.3863, 1.2899]",52,bad,-0.3863,1.2899,1.6762000000000001,0,6
himmelblau,"[3.0053, 1.9974]",0.00089,0.0,0.6,"[-0.5373, 4.8369]",23,good,-0.5373,4.8369,5.3742,8,4
himmelblau,"[-1.1369, 0.3051]",153.10494,0.001,0.3,"[-1.1369, 0.3051]",52,bad,-1.1369,0.3051,1.442,0,1
himmelblau,"[1.2428, 1.2428]",85.19625,0.002,0.4,"[-1.8391, 1.2428]",53,bad,-1.8391,1.2428,3.0819,2,2
himmelblau,"[-1.042, 0.2177]",157.93587,0.0015,0.7,"[-1.042, 0.2177]",52,bad,-1.042,0.2177,1.2597,0,5
himmelblau,"[3.4848, -1.8245]",0.49779,0.0025,0.5,"[-4.2967, 3.4848]",159,bad,-4.2967,3.4848,7.7815,13,3
himmelblau,"[3.0043, 2.0018]",0.00089,0.0005,0.1,"[-4.4358, 4.6095]",31,good,-4.4358,4.6095,9.045300000000001,14,0
himmelblau,"[3.5812, -1.8446]",0.00066,0.0015,0.8,"[-1.9032, 4.5533]",35,good,-1.9032,4.5533,6.4565,10,6
himmelblau,"[-1.4961, 2.0508]",63.4414,0.001,1.0,"[-1.4961, 2.0508]",52,bad,-1.4961,2.0508,3.5469,3,8
himmelblau,"[-3.7798, -3.2826]",4e-05,0.001,0.1,"[-4.2773, 0.2906]",31,good,-4.2773,0.2906,4.567900000000001,6,0
