Iterations,Function,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
800,rastrigin,"[0.9106, -0.0028]",2.3675,0.0075,5.4,"[-5.012, 0.9106]"
300,rastrigin,"[-0.9583, -0.01]",1.2794,0.003,1.3,"[-1.5334, 8.2702]"
200,rastrigin,"[-2.0234, -0.1074]",6.4044,0.002,7.9,"[-4.3556, 1.8469]"
300,rastrigin,"[-0.8828, -0.0572]",4.0126,0.0027,7.2,"[-3.5845, 1.1645]"
10,rastrigin,"[3.9097, 4.009]",32.9416,0.0,9.2,"[-7.7986, 8.3629]"
10,rastrigin,"[6.0295, 6.7088]",94.0934,0.0,3.7,"[-4.9365, 9.4102]"
1000,rastrigin,"[0.0515, 0.0825]",1.8422,0.0095,7.6,"[-1.8164, 4.3141]"
50,rastrigin,"[-0.9944, -4.9559]",25.9373,0.0,0.4,"[-9.7374, 3.1598]"
50,rastrigin,"[-0.9747, 0.8243]",7.2555,0.0,2.2,"[-9.5586, 8.4528]"
900,rastrigin,"[-0.045, -0.1093]",2.6768,0.008,7.6,"[-5.8239, 2.2326]"
10,rastrigin,"[-0.7449, 2.1096]",17.5997,0.0,1.6,"[-2.6288, 4.7951]"
700,rastrigin,"[1.001, 0.9333]",2.7387,0.006,7.0,"[-2.6932, 8.0993]"
10,rastrigin,"[1.8193, -2.9566]",18.2028,0.0,5.2,"[-6.4312, 6.6257]"
10,rastrigin,"[-3.9487, 4.9691]",40.9877,0.0001,0.3,"[-8.0722, 6.3551]"
800,rastrigin,"[-0.007, 0.0367]",0.2755,0.0083,1.1,"[-7.9912, 4.9123]"
100,rastrigin,"[-0.0405, 0.1101]",2.6351,0.001,6.6,"[-6.9862, 5.4892]"
500,rastrigin,"[-0.9856, -0.037]",1.2827,0.005,7.6,"[-5.791, 7.8116]"
100,rastrigin,"[-1.9945, -0.0564]",4.6084,0.001,2.3,"[-8.9284, 2.3335]"
300,rastrigin,"[-0.8862, 0.8181]",9.751,0.002,7.3,"[-1.6347, 8.2705]"
600,rastrigin,"[-0.8761, 0.0321]",3.8511,0.0059,8.7,"[-5.0054, 2.3751]"
800,rastrigin,"[-0.9726, 0.9983]",2.091,0.0075,9.0,"[-4.0575, 7.0592]"
300,rastrigin,"[0.0327, 0.0591]",0.8972,0.0026,1.4,"[-0.6475, 9.9204]"
300,rastrigin,"[-4.9719, -4.1181]",44.4625,0.003,0.7,"[-8.5088, 1.8213]"
700,rastrigin,"[0.0325, 0.0486]",0.6731,0.0066,1.4,"[-9.5883, 7.6359]"
700,rastrigin,"[0.0381, -0.9459]",1.7534,0.0063,6.4,"[-6.7672, 5.0858]"
400,rastrigin,"[1.0286, 0.009]",1.2348,0.0041,3.6,"[-2.6254, 9.619]"
100,rastrigin,"[-2.9073, -1.0004]",11.1017,0.001,7.0,"[-6.4319, 8.9]"
500,rastrigin,"[-0.0708, 0.1252]",3.934,0.0052,8.1,"[-8.9048, 1.3159]"
700,rastrigin,"[0.0018, 1.0522]",1.6408,0.007,9.7,"[-8.3603, 5.3706]"
100,rastrigin,"[2.0647, 0.1012]",7.0439,0.001,8.4,"[-6.1363, 5.7512]"
400,rastrigin,"[0.0892, -0.8215]",7.8669,0.004,9.2,"[-9.2428, 0.7114]"
500,rastrigin,"[0.9661, -0.9638]",2.3464,0.0045,7.7,"[-6.5638, 5.9335]"
800,rastrigin,"[-0.0014, 0.0044]",0.0043,0.008,1.3,"[-0.0977, 0.0044]"
300,rastrigin,"[0.0269, -1.0338]",1.4368,0.003,3.6,"[-1.0687, 8.2762]"
1000,rastrigin,"[-0.0017, -0.0516]",0.5241,0.0101,9.4,"[-0.0516, 1.9418]"
200,rastrigin,"[0.9993, 1.9336]",5.5962,0.002,9.4,"[-3.2986, 1.9336]"
50,rastrigin,"[0.0109, 3.1135]",12.1556,0.001,5.2,"[-6.2003, 5.0741]"
100,rastrigin,"[0.0324, 0.9027]",2.8331,0.001,5.2,"[-3.7744, 0.9027]"
700,rastrigin,"[-0.0004, -0.9421]",1.5423,0.0076,3.0,"[-8.162, 4.2175]"
1000,rastrigin,"[0.0704, -0.0058]",0.973,0.0101,4.3,"[-7.7343, 2.185]"
300,rastrigin,"[0.9645, -0.0335]",1.4007,0.0025,3.3,"[-7.9904, 7.8075]"
400,rastrigin,"[1.0277, -0.0302]",1.3878,0.004,0.5,"[-3.3509, 3.3578]"
900,rastrigin,"[-0.022, -1.0352]",1.4115,0.0086,5.0,"[-4.268, 1.2381]"
600,rastrigin,"[-3.9764, -6.9528]",64.6993,0.0065,0.5,"[-9.9934, 0.6454]"
500,rastrigin,"[0.0054, -0.9697]",1.1268,0.0048,8.3,"[-4.5094, 4.9348]"
400,rastrigin,"[0.9977, 0.0049]",1.0011,0.0035,8.8,"[-9.0505, 0.9977]"
900,rastrigin,"[-0.1251, -0.126]",5.9389,0.0087,8.6,"[-0.4173, 9.6698]"
1000,rastrigin,"[0.8422, 1.0151]",6.3115,0.0101,9.3,"[-9.6629, 5.7383]"
900,rastrigin,"[0.0234, 0.9367]",1.7671,0.0082,5.2,"[-3.9455, 2.9724]"
800,rastrigin,"[0.9841, 0.0672]",1.901,0.0077,5.3,"[-5.7364, 8.3976]"
1000,rastrigin,"[0.017, -0.0307]",0.2432,0.0106,1.7,"[-2.1617, 1.4697]"
700,rastrigin,"[0.0053, 0.0274]",0.1537,0.0076,3.4,"[-4.2741, 1.5867]"
1000,rastrigin,"[-0.056, -0.9746]",1.6936,0.0104,4.8,"[-9.7783, 3.0418]"
300,rastrigin,"[0.0737, -0.0092]",1.0759,0.003,2.0,"[-8.4252, 5.0323]"
900,rastrigin,"[0.9353, 0.0303]",1.8709,0.0096,4.7,"[-2.5538, 6.2496]"
900,rastrigin,"[3.9693, -2.9897]",24.9002,0.008,0.3,"[-3.4675, 9.8957]"
300,rastrigin,"[0.0496, 1.0167]",1.5726,0.0036,1.6,"[-8.2458, 8.0066]"
100,rastrigin,"[-0.9229, 0.9457]",3.4724,0.0005,2.5,"[-4.7565, 4.9726]"
700,rastrigin,"[-0.9847, -0.0026]",1.0172,0.0065,5.4,"[-8.5427, 1.2892]"
50,rastrigin,"[-0.0291, 1.1559]",5.9317,0.0005,5.8,"[-3.7494, 1.4288]"
200,rastrigin,"[0.0382, 1.8928]",6.0555,0.0028,9.7,"[-3.4166, 8.6068]"
500,rastrigin,"[1.0171, -0.0028]",1.094,0.005,2.0,"[-3.3706, 1.0171]"
600,rastrigin,"[0.9918, 0.9788]",2.0437,0.0066,6.3,"[-6.987, 2.7913]"
600,rastrigin,"[-1.9215, 0.0357]",5.1344,0.0057,9.5,"[-9.2255, 2.6656]"
500,rastrigin,"[0.9239, 0.0051]",1.9802,0.005,4.8,"[-4.5992, 9.5933]"
1000,rastrigin,"[-0.0226, -0.9503]",1.488,0.0097,2.8,"[-1.5172, 6.0947]"
200,rastrigin,"[-0.001, 2.1707]",9.9308,0.001,8.9,"[-1.7216, 2.1707]"
500,rastrigin,"[-0.0156, 0.9129]",2.3433,0.0058,7.0,"[-6.2362, 7.4283]"
1000,rastrigin,"[0.9709, 0.0369]",1.3785,0.0105,5.4,"[-3.8872, 9.4251]"
800,rastrigin,"[0.0262, 0.0049]",0.1407,0.008,1.8,"[-6.9588, 8.4949]"
700,rastrigin,"[0.9635, -0.0842]",2.5632,0.0066,8.5,"[-2.6982, 3.6608]"
100,rastrigin,"[-2.0421, -0.0748]",5.6081,0.0011,8.9,"[-6.9923, 9.944]"
300,rastrigin,"[-0.931, 1.9961]",5.7785,0.003,7.1,"[-2.9073, 5.9666]"
500,rastrigin,"[0.0556, 0.0564]",1.2322,0.0056,3.4,"[-9.1027, 4.0792]"
200,rastrigin,"[0.0011, 0.0404]",0.3222,0.002,1.2,"[-6.6072, 0.0404]"
500,rastrigin,"[-0.0621, 0.977]",1.8153,0.0056,5.1,"[-5.8166, 1.3225]"
700,rastrigin,"[-4.9591, -3.9678]",40.8682,0.0069,0.7,"[-7.7442, 3.1901]"
400,rastrigin,"[-0.012, 1.0221]",1.1692,0.0045,1.8,"[-9.7751, 6.2306]"
800,rastrigin,"[-0.0003, -1.0142]",1.0684,0.0076,10.0,"[-3.1934, 4.5666]"
500,rastrigin,"[-0.0078, -1.104]",3.2912,0.0051,6.8,"[-1.104, 4.8354]"
10,rastrigin,"[4.4262, 0.9098]",40.9263,0.0,1.0,"[-1.1013, 9.9355]"
600,rastrigin,"[0.0771, -0.1455]",5.0732,0.006,9.9,"[-3.0673, 9.4986]"
900,rastrigin,"[0.0303, -0.9688]",1.3113,0.0083,0.8,"[-2.0803, 1.9347]"
1000,rastrigin,"[0.1072, 1.0249]",3.3687,0.0098,7.0,"[-5.6555, 6.8776]"
200,rastrigin,"[0.9851, -1.1217]",5.0547,0.0017,3.1,"[-2.2954, 2.0053]"
100,rastrigin,"[2.0192, -3.0428]",13.7684,0.001,8.0,"[-8.323, 3.6363]"
1000,rastrigin,"[0.012, -0.047]",0.4636,0.01,1.4,"[-2.5898, 8.6586]"
400,rastrigin,"[-0.0595, 0.0646]",1.5107,0.004,1.7,"[-6.2899, 8.8793]"
100,rastrigin,"[0.9641, 1.0935]",4.0537,0.001,0.9,"[-3.4447, 4.8444]"
800,rastrigin,"[5.9723, -3.9849]",51.7438,0.0066,0.2,"[-5.0803, 7.0489]"
300,rastrigin,"[0.8774, -1.0279]",4.8037,0.003,6.5,"[-7.4343, 7.8709]"
700,rastrigin,"[0.0054, 0.9938]",1.0011,0.0077,2.9,"[-0.4231, 7.3408]"
400,rastrigin,"[-0.9452, 1.0079]",2.5092,0.0047,9.7,"[-7.8675, 8.351]"
100,rastrigin,"[1.2023, -0.9893]",9.4926,0.001,8.3,"[-8.6063, 1.2023]"
10,rastrigin,"[0.7329, 0.9614]",12.8276,0.0,2.3,"[-6.0093, 6.455]"
1000,rastrigin,"[0.975, -0.0727]",2.1054,0.0101,5.2,"[-3.8977, 1.1697]"
50,rastrigin,"[-2.0802, -2.024]",9.7807,0.0,3.4,"[-7.1972, 1.7706]"
1000,rastrigin,"[0.9108, -0.0022]",2.3609,0.0099,7.6,"[-0.8882, 8.0351]"
700,rastrigin,"[-0.0155, 0.9954]",1.0427,0.0078,4.6,"[-5.7461, 8.7468]"
100,rastrigin,"[0.0909, -0.8163]",8.2163,0.001,7.8,"[-0.8163, 0.478]"
700,rastrigin,"[0.0186, -0.9446]",1.5605,0.0076,3.2,"[-6.2892, 4.8579]"
200,rastrigin,"[-1.078, 0.0772]",3.4965,0.002,8.2,"[-2.0593, 3.1162]"
600,rastrigin,"[-0.0143, 0.074]",1.107,0.0059,10.0,"[-7.5707, 4.5864]"
700,rastrigin,"[-0.9523, 0.0073]",1.3626,0.0067,3.6,"[-2.6518, 9.5998]"
700,rastrigin,"[-0.0221, 1.0398]",1.4886,0.0066,7.9,"[-7.3472, 5.1567]"
50,rastrigin,"[-0.1166, 0.0588]",3.2578,0.001,2.1,"[-2.7443, 5.4658]"
300,rastrigin,"[0.0913, 0.8471]",6.5969,0.003,9.3,"[-9.1957, 2.4664]"
700,rastrigin,"[0.9685, 0.0373]",1.4077,0.0066,8.6,"[-3.7763, 5.52]"
1000,rastrigin,"[0.0501, -0.0145]",0.5359,0.0099,1.9,"[-4.6677, 3.297]"
50,rastrigin,"[-0.8958, 4.0783]",20.6858,0.001,1.0,"[-0.8958, 8.6367]"
10,rastrigin,"[-1.8161, 1.0168]",10.3545,0.001,1.6,"[-8.0616, 7.6685]"
700,rastrigin,"[-1.9981, 1.9996]",7.9919,0.0062,0.2,"[-5.0128, 3.2367]"
50,rastrigin,"[-0.9544, 0.8988]",4.0802,0.0,5.5,"[-2.1168, 4.3462]"
100,rastrigin,"[0.0128, 0.7788]",8.8409,0.001,6.1,"[-7.3268, 4.7258]"
200,rastrigin,"[-0.0332, 1.0438]",1.683,0.003,2.9,"[-8.9572, 1.6556]"
900,rastrigin,"[-0.891, -0.0378]",3.3331,0.008,9.8,"[-6.9526, 3.9362]"
800,rastrigin,"[-1.1349, 0.0922]",6.3115,0.008,6.6,"[-3.2625, 0.706]"
300,rastrigin,"[0.0661, -0.0261]",0.9889,0.003,3.8,"[-2.6521, 9.7971]"
400,rastrigin,"[-2.9901, 7.9645]",72.6411,0.0045,0.1,"[-6.5668, 8.9552]"
1000,rastrigin,"[0.0677, 0.1026]",2.9117,0.0093,7.2,"[-4.4449, 9.8199]"
200,rastrigin,"[-0.9481, 0.0162]",1.4779,0.002,2.7,"[-3.0942, 0.3583]"
200,rastrigin,"[0.9762, -0.9692]",2.1903,0.002,3.0,"[-9.4142, 1.4099]"
400,rastrigin,"[0.0328, 0.9696]",1.3354,0.0036,1.7,"[-4.1535, 3.7654]"
600,rastrigin,"[0.0197, 0.9574]",1.3506,0.006,5.0,"[-6.2641, 7.7254]"
1000,rastrigin,"[-0.0004, -0.0871]",1.4672,0.0105,6.0,"[-1.6133, 5.6058]"
400,rastrigin,"[0.0041, 1.0176]",1.1004,0.0036,1.7,"[-6.7764, 8.7387]"
600,rastrigin,"[5.9626, -2.9848]",44.7821,0.0057,0.1,"[-3.2001, 6.5389]"
700,rastrigin,"[-1.0009, 1.0562]",2.7337,0.0066,3.1,"[-2.2862, 4.768]"
